Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-08-29,Fiji,Papua New Guinea,3,1,South Pacific Games,Suva,Fiji,False
1966-12-09,Papua New Guinea,Tahiti,3,4,South Pacific Games,Nouméa,New Caledonia,True
1966-12-13,Papua New Guinea,Wallis Islands and Futuna,9,1,South Pacific Games,Nouméa,New Caledonia,True
1966-12-15,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-17,Papua New Guinea,Vanuatu,2,5,South Pacific Games,Nouméa,New Caledonia,True
1969-08-14,Papua New Guinea,New Caledonia,1,4,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-15,Papua New Guinea,Tahiti,1,3,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-16,Papua New Guinea,Solomon Islands,4,0,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-18,Papua New Guinea,Vanuatu,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-20,Papua New Guinea,Fiji,1,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-22,Papua New Guinea,Fiji,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1971-09-09,Tahiti,Papua New Guinea,2,2,South Pacific Games,Papeete,Tahiti,False
1971-09-11,Cook Islands,Papua New Guinea,1,16,South Pacific Games,Papeete,Tahiti,True
1971-09-16,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Papeete,Tahiti,True
1971-09-18,Tahiti,Papua New Guinea,8,1,South Pacific Games,Papeete,Tahiti,False
1975-08-02,Vanuatu,Papua New Guinea,3,0,South Pacific Games,Tamuning,Guam,True
1975-08-04,Papua New Guinea,Tahiti,2,4,South Pacific Games,Tamuning,Guam,True
1975-08-05,New Caledonia,Papua New Guinea,5,1,South Pacific Games,Tamuning,Guam,True
1979-08-29,Fiji,Papua New Guinea,0,0,South Pacific Games,Suva,Fiji,False
1979-08-31,Kiribati,Papua New Guinea,0,13,South Pacific Games,Suva,Fiji,True
1979-09-03,Papua New Guinea,Solomon Islands,2,3,South Pacific Games,Nausori,Fiji,True
1979-09-05,Vanuatu,Papua New Guinea,2,0,South Pacific Games,Nausori,Fiji,True
1980-02-24,Vanuatu,Papua New Guinea,3,4,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-26,Australia,Papua New Guinea,11,2,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-28,New Caledonia,Papua New Guinea,8,0,Oceania Nations Cup,Nouméa,New Caledonia,False
1981-07-08,Papua New Guinea,Fiji,3,2,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-09,Papua New Guinea,Samoa,4,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-10,New Caledonia,Papua New Guinea,5,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-11,Tahiti,Papua New Guinea,5,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-13,Vanuatu,Papua New Guinea,2,3,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-14,Solomon Islands,Papua New Guinea,1,2,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-15,Papua New Guinea,Vanuatu,1,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1983-08-22,Niue,Papua New Guinea,0,19,South Pacific Games,Apia,Western Samoa,True
1983-08-24,Papua New Guinea,Tahiti,1,2,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Fiji,Papua New Guinea,2,0,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Papua New Guinea,Tahiti,1,6,South Pacific Games,Apia,Western Samoa,True
1983-09-15,New Caledonia,Papua New Guinea,2,1,South Pacific Games,Apia,Western Samoa,True
1984-08-25,Liberia,Papua New Guinea,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1984-09-01,Indonesia,Papua New Guinea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1984-09-04,Malaysia,Papua New Guinea,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1985-09-16,Papua New Guinea,China PR,1,4,Friendly,Lae,Papua New Guinea,False
1985-09-19,Papua New Guinea,China PR,1,1,Friendly,Port Moresby,Papua New Guinea,False
1987-12-09,Papua New Guinea,Tahiti,0,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-10,New Caledonia,Papua New Guinea,2,0,South Pacific Games,Nouméa,New Caledonia,False
1987-12-12,Papua New Guinea,Vanuatu,1,1,South Pacific Games,Nouméa,New Caledonia,True
1987-12-15,American Samoa,Papua New Guinea,0,20,South Pacific Games,Nouméa,New Caledonia,True
1987-12-17,Papua New Guinea,Wallis Islands and Futuna,2,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-19,Papua New Guinea,Vanuatu,3,1,South Pacific Games,Nouméa,New Caledonia,True
1989-10-28,Fiji,Papua New Guinea,2,1,Friendly,Suva,Fiji,False
1989-10-31,Papua New Guinea,Vanuatu,3,0,Friendly,Suva,Fiji,True
1989-11-03,Papua New Guinea,Solomon Islands,0,0,Friendly,Suva,Fiji,True
1989-11-04,New Caledonia,Papua New Guinea,2,1,Friendly,Suva,Fiji,True
1990-11-03,New Caledonia,Papua New Guinea,2,1,Friendly,Port Vila,Vanuatu,True
1990-11-05,Vanuatu,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,False
1990-11-06,Solomon Islands,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,True
1990-11-08,Fiji,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,True
1991-09-09,Papua New Guinea,Solomon Islands,0,0,South Pacific Games,Lae,Papua New Guinea,False
1991-09-12,Papua New Guinea,Vanuatu,0,1,South Pacific Games,Lae,Papua New Guinea,False
1991-09-15,Papua New Guinea,Wallis Islands and Futuna,5,0,South Pacific Games,Lae,Papua New Guinea,False
1993-12-08,New Caledonia,Papua New Guinea,1,1,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-10,Tonga,Papua New Guinea,0,5,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-13,Vanuatu,Papua New Guinea,1,0,South Pacific Mini Games,Port Vila,Vanuatu,False
1994-07-03,Papua New Guinea,New Caledonia,1,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-05,Solomon Islands,Papua New Guinea,2,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-06,Papua New Guinea,Fiji,0,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-07,Vanuatu,Papua New Guinea,1,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1995-08-16,Fiji,Papua New Guinea,2,2,South Pacific Games,Papeete,Tahiti,True
1995-08-20,Papua New Guinea,Vanuatu,0,3,South Pacific Games,Papeete,Tahiti,True
1995-08-22,Guam,Papua New Guinea,0,9,South Pacific Games,Papeete,Tahiti,True
1996-09-16,Papua New Guinea,Solomon Islands,1,1,FIFA World Cup qualification,Lae,Papua New Guinea,False
1996-09-20,Papua New Guinea,Vanuatu,2,1,FIFA World Cup qualification,Lae,Papua New Guinea,False
1997-05-31,Papua New Guinea,New Zealand,1,0,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
1997-06-11,New Zealand,Papua New Guinea,7,0,FIFA World Cup qualification,Auckland,New Zealand,False
1997-06-15,Fiji,Papua New Guinea,3,1,FIFA World Cup qualification,Suva,Fiji,False
1997-06-21,Papua New Guinea,Fiji,0,1,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
1998-09-05,Solomon Islands,Papua New Guinea,3,1,Oceania Nations Cup qualification,Luganville,Vanuatu,True
1998-09-07,Papua New Guinea,New Caledonia,1,0,Oceania Nations Cup qualification,Luganville,Vanuatu,True
1998-09-08,Vanuatu,Papua New Guinea,1,1,Oceania Nations Cup qualification,Luganville,Vanuatu,False
1998-09-10,Fiji,Papua New Guinea,2,0,Oceania Nations Cup qualification,Luganville,Vanuatu,True
1998-09-19,Solomon Islands,Papua New Guinea,2,1,Friendly,Honiara,Solomon Islands,False
2000-04-08,Fiji,Papua New Guinea,5,0,Oceania Nations Cup qualification,Suva,Fiji,False
2000-04-11,New Caledonia,Papua New Guinea,6,1,Oceania Nations Cup qualification,Suva,Fiji,True
2000-04-13,Solomon Islands,Papua New Guinea,4,2,Oceania Nations Cup qualification,Suva,Fiji,True
2000-04-15,Papua New Guinea,Vanuatu,1,4,Oceania Nations Cup qualification,Suva,Fiji,True
2002-03-12,New Caledonia,Papua New Guinea,1,4,Oceania Nations Cup qualification,Apia,Samoa,True
2002-03-14,Papua New Guinea,Tonga,5,0,Oceania Nations Cup qualification,Apia,Samoa,True
2002-03-16,Samoa,Papua New Guinea,1,4,Oceania Nations Cup qualification,Apia,Samoa,False
2002-03-18,American Samoa,Papua New Guinea,0,7,Oceania Nations Cup qualification,Apia,Samoa,True
2002-07-05,Papua New Guinea,Solomon Islands,0,0,Oceania Nations Cup,North Shore,New Zealand,True
2002-07-07,New Zealand,Papua New Guinea,9,1,Oceania Nations Cup,North Shore,New Zealand,False
2002-07-09,Papua New Guinea,Tahiti,1,3,Oceania Nations Cup,North Shore,New Zealand,True
2003-06-14,Papua New Guinea,Solomon Islands,3,5,Friendly,Port Moresby,Papua New Guinea,False
2003-06-30,Papua New Guinea,New Caledonia,0,2,South Pacific Games,Suva,Fiji,True
2003-07-01,Papua New Guinea,Tonga,2,2,South Pacific Games,Suva,Fiji,True
2003-07-03,Tahiti,Papua New Guinea,3,0,South Pacific Games,Suva,Fiji,True
2003-07-07,Papua New Guinea,Micronesia,10,0,South Pacific Games,Lautoka,Fiji,True
2004-05-10,Papua New Guinea,Vanuatu,1,1,FIFA World Cup qualification,Apia,Samoa,True
2004-05-12,Fiji,Papua New Guinea,4,2,FIFA World Cup qualification,Apia,Samoa,True
2004-05-17,American Samoa,Papua New Guinea,0,10,FIFA World Cup qualification,Apia,Samoa,True
2004-05-19,Samoa,Papua New Guinea,1,4,FIFA World Cup qualification,Apia,Samoa,False
2007-07-13,Solomon Islands,Papua New Guinea,2,1,Friendly,Honiara,Solomon Islands,False
2011-08-27,Papua New Guinea,Cook Islands,4,0,Pacific Games,Boulari,New Caledonia,True
2011-09-01,Tahiti,Papua New Guinea,1,1,Pacific Games,Boulari,New Caledonia,True
2011-09-03,Kiribati,Papua New Guinea,1,17,Pacific Games,Boulari,New Caledonia,True
2011-09-05,Papua New Guinea,Fiji,0,2,Pacific Games,Boulari,New Caledonia,True
2012-06-02,Solomon Islands,Papua New Guinea,1,0,Oceania Nations Cup,Honiara,Solomon Islands,False
2012-06-04,Papua New Guinea,New Zealand,1,2,Oceania Nations Cup,Honiara,Solomon Islands,True
2012-06-06,Papua New Guinea,Fiji,1,1,Oceania Nations Cup,Honiara,Solomon Islands,True
2014-09-06,Singapore,Papua New Guinea,2,1,Friendly,Hougang,Singapore,False
2014-10-12,Philippines,Papua New Guinea,5,0,Friendly,Manila,Philippines,False
2016-03-24,Solomon Islands,Papua New Guinea,2,0,Friendly,Honiara,Solomon Islands,False
2016-05-29,Papua New Guinea,New Caledonia,1,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,False
2016-06-01,Papua New Guinea,Tahiti,2,2,Oceania Nations Cup,Port Moresby,Papua New Guinea,False
2016-06-05,Papua New Guinea,Samoa,8,0,Oceania Nations Cup,Port Moresby,Papua New Guinea,False
2016-06-08,Papua New Guinea,Solomon Islands,2,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,False
2016-06-11,Papua New Guinea,New Zealand,0,0,Oceania Nations Cup,Port Moresby,Papua New Guinea,False
2016-11-10,Iran,Papua New Guinea,8,1,Friendly,Shah Alam,Malaysia,True
2016-11-14,Malaysia,Papua New Guinea,2,1,Friendly,Shah Alam,Malaysia,False
2017-03-23,Papua New Guinea,Tahiti,1,3,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
2017-03-28,Tahiti,Papua New Guinea,1,2,FIFA World Cup qualification,Pirae,Tahiti,False
2017-06-09,Solomon Islands,Papua New Guinea,3,2,FIFA World Cup qualification,Honiara,Solomon Islands,False
2017-06-13,Papua New Guinea,Solomon Islands,1,2,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
2019-07-08,Samoa,Papua New Guinea,0,6,Pacific Games,Apia,Samoa,False
2019-07-10,Papua New Guinea,Vanuatu,2,0,Pacific Games,Apia,Samoa,True
2019-07-18,Papua New Guinea,Tonga,8,0,Pacific Games,Apia,Samoa,True
2019-07-20,Papua New Guinea,Fiji,1,1,Pacific Games,Apia,Samoa,True
2022-03-18,Papua New Guinea,New Zealand,0,1,FIFA World Cup qualification,Doha,Qatar,True
2022-03-21,Papua New Guinea,New Caledonia,1,0,FIFA World Cup qualification,Doha,Qatar,True
2022-03-24,Fiji,Papua New Guinea,1,2,FIFA World Cup qualification,Doha,Qatar,True
2022-03-27,Solomon Islands,Papua New Guinea,3,2,FIFA World Cup qualification,Doha,Qatar,True
2022-09-24,Vanuatu,Papua New Guinea,0,1,MSG Prime Minister's Cup,Port Vila,Vanuatu,False
2022-09-27,Fiji,Papua New Guinea,0,1,MSG Prime Minister's Cup,Luganville,Vanuatu,True
2023-06-16,Singapore,Papua New Guinea,2,2,Friendly,Kallang,Singapore,False
2023-06-20,Malaysia,Papua New Guinea,10,0,Friendly,Terengganu,Malaysia,False
2023-10-08,Papua New Guinea,Solomon Islands,1,3,MSG Prime Minister's Cup,New Caledonia,New Caledonia,True
2023-10-11,New Caledonia,Papua New Guinea,3,1,MSG Prime Minister's Cup,New Caledonia,New Caledonia,False
2023-10-14,Papua New Guinea,Vanuatu,0,1,MSG Prime Minister's Cup,New Caledonia,New Caledonia,True
2023-11-17,Papua New Guinea,Tuvalu,3,0,Pacific Games,Honiara,Solomon Islands,True
2023-11-23,Vanuatu,Papua New Guinea,1,1,Pacific Games,Honiara,Solomon Islands,True
2023-11-27,Cook Islands,Papua New Guinea,0,3,Pacific Games,Solomon Islands,Solomon Islands,True
2023-11-30,Tahiti,Papua New Guinea,2,0,Pacific Games,Solomon Islands,Solomon Islands,True
2024-03-22,Sri Lanka,Papua New Guinea,0,0,FIFA Series,Colombo,Sri Lanka,False
2024-03-25,Central African Republic,Papua New Guinea,4,0,FIFA Series,Colombo,Sri Lanka,True
2024-06-16,Fiji,Papua New Guinea,5,1,Oceania Nations Cup,Suva,Fiji,False
2024-06-19,Papua New Guinea,Tahiti,1,1,Oceania Nations Cup,Suva,Fiji,True
2024-06-22,Samoa,Papua New Guinea,1,2,Oceania Nations Cup,Suva,Fiji,True
2024-10-10,Papua New Guinea,New Caledonia,1,3,FIFA World Cup qualification,Suva,Fiji,True
2024-11-14,Papua New Guinea,Fiji,3,3,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
2024-11-17,Papua New Guinea,Solomon Islands,1,2,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
